주소,건물명,건축년도,면적,층,계약월,건물용도,월별평균 매매가,매매지수,월별평균 전세가,전세지수,2년매매가 평균,구,상세주소,기존 전세가,전세가율
강남구 대치동 63-0,"대치우성아파트1동,2동,3동,5동,6동,7동",1984,116,2층 초과,2023-07-01,아파트,266500.0,100.163,100000.0,83.31,284944.2597168046,강남구,대치동 63-0,96104.9843171948,33.727643579382836
구로구 구로동 42-0,신도림LG자이,2004,85,2층 초과,2023-07-01,아파트,93000.0,92.83,55500.0,84.451,96471.40311241534,구로구,구로동 42-0,59783.33333333334,61.97000500103596
강남구 청담동 65-0,진흥아파트,1984,146,2층 이하,2023-07-01,아파트,294000.0,100.163,81500.0,83.31,297096.48571068887,강남구,청담동 65-0,82447.96023001449,27.75124048767844
영등포구 여의도동 13-22,KCC파크타운,2005,35,2층 초과,2023-07-01,오피스텔,22900.0,92.435,19800.0,85.883,21542.421886490767,영등포구,여의도동 13-22,19795.710859333445,91.8917611197064
구로구 항동 236-0,항동중흥에스클래스베르데카운티,2019,85,2층 초과,2023-07-01,아파트,82000.0,92.83,45000.0,84.451,102168.6802706447,구로구,항동 236-0,60359.4,59.07818309887926
강서구 가양동 1459-0,동신대아,1993,135,2층 초과,2023-07-01,아파트,130000.0,90.277,59400.0,81.465,133518.81096308568,강서구,가양동 1459-0,68333.33333333333,51.178806072670646
성동구 옥수동 436-0,극동그린,1997,114,2층 초과,2023-07-01,아파트,121500.0,94.874,66000.0,84.774,141096.7519044965,성동구,옥수동 436-0,100000.0,70.87335367414165
성동구 옥수동 436-0,극동그린,1997,85,2층 초과,2023-07-01,아파트,115000.0,94.874,58500.0,84.774,136221.61726428766,성동구,옥수동 436-0,80668.66247413152,59.21869384183262
도봉구 도봉동 641-0,서원,1996,50,2층 초과,2023-07-01,아파트,34400.0,85.441,18461.53846153846,83.071,41116.9472045218,도봉구,도봉동 641-0,25833.333333333325,62.828918705551
강동구 상일동 513-0,고덕센트럴IPARK,2019,85,2층 이하,2023-07-01,아파트,127833.3333333333,94.01,80050.0,85.841,141915.84622915002,강동구,상일동 513-0,80000.0,56.37143569635265
강남구 압구정동 433-0,신현대11차,1983,183,2층 초과,2023-07-01,아파트,640000.0,100.163,180000.0,83.31,561039.7275691532,강남구,압구정동 433-0,216352.35,38.562750437905954
성동구 행당동 349-0,서울숲 한신 더 휴,2003,60,2층 초과,2023-07-01,아파트,101650.0,94.874,50500.00000000001,84.774,108709.45650834586,성동구,행당동 349-0,62000.0,57.03275684690791
성동구 행당동 349-0,서울숲 한신 더 휴,2003,85,2층 초과,2023-07-01,아파트,120750.0,94.874,57459.99999999999,84.774,132583.069977099,성동구,행당동 349-0,64812.5,48.88444656711828
성동구 행당동 349-0,서울숲 한신 더 휴,2003,85,2층 이하,2023-07-01,아파트,109000.0,94.874,55000.0,84.774,139010.1097988666,성동구,행당동 349-0,50588.496,36.39195456589192
강서구 마곡동 744-0,마곡엠밸리9단지,2021,60,2층 초과,2023-07-01,아파트,107000.0,90.277,39454.0,81.465,,강서구,마곡동 744-0,,
강서구 마곡동 744-0,마곡엠밸리9단지,2021,85,2층 초과,2023-07-01,아파트,124500.0,90.277,65600.0,81.465,113785.16071428572,강서구,마곡동 744-0,71666.66666666667,62.98419426292459
동대문구 답십리동 1002-0,청계한신휴플러스,2010,74,2층 초과,2023-07-01,아파트,99850.0,89.772,51999.99999999999,86.164,114116.14862131972,동대문구,답십리동 1002-0,53000.0,46.4439088072223
성동구 옥수동 220-1,한남하이츠,1982,149,2층 초과,2023-07-01,아파트,270000.0,94.874,50000.00000000001,84.774,233292.7310570042,성동구,옥수동 220-1,50417.9140463322,21.611438049483322
중구 만리동2가 176-1,서울역센트럴자이,2017,60,2층 초과,2023-07-01,아파트,126000.0,89.391,59316.5,84.522,131578.63771329916,중구,만리동2가 176-1,81000.0,61.56014487434766
은평구 진관동 150-0,은평뉴타운기자촌11단지,2015,85,2층 이하,2023-07-01,아파트,81000.0,89.776,43000.0,84.277,86877.62930660983,은평구,진관동 150-0,43209.41,49.73594508144865
구로구 구로동 44-5,비즈트위트 레인보우,2012,20,2층 초과,2023-07-01,아파트,11600.0,92.83,12500.0,84.451,12149.708516436645,구로구,구로동 44-5,12800.0,105.35232168478457
용산구 이촌동 412-0,이촌코오롱(A),1999,60,2층 초과,2023-07-01,아파트,154500.0,97.327,51000.0,84.515,170298.18783421474,용산구,이촌동 412-0,45000.0,26.42423890253459
마포구 성산동 591-5,상암 스위트포레,2016,19,2층 초과,2023-07-01,오피스텔,13499.999999999998,93.358,13000.0,86.975,13805.43249089972,마포구,성산동 591-5,14260.0,103.29267126835701
구로구 구로동 97-0,로제리움2차,2014,20,2층 초과,2023-07-01,아파트,10400.0,92.83,12000.0,84.451,11362.78886365573,구로구,구로동 97-0,13150.0,115.7286310411058
은평구 진관동 105-0,마고정3단지센트레빌(323~335동)BL2-2,2009,102,2층 초과,2023-07-01,아파트,96000.0,89.776,49999.99999999999,84.277,116599.5555693141,은평구,진관동 105-0,80389.59999999999,68.94503122888094
금천구 가산동 535-55,가산유미어스오피스텔,2018,17,2층 초과,2023-07-01,오피스텔,13999.999999999998,89.195,12575.0,80.357,13790.036837328034,금천구,가산동 535-55,13058.333333333334,94.6939699101161
성동구 금호동2가 1215-0,금호자이1차,2012,60,2층 초과,2023-07-01,아파트,111650.0,94.874,59880.0,84.774,121478.70530939153,성동구,금호동2가 1215-0,66300.0,54.57746675118239
구로구 개봉동 481-0,현대,2001,60,2층 초과,2023-07-01,아파트,65075.0,92.83,42000.0,84.451,75608.02717440533,구로구,개봉동 481-0,45000.0,59.51748998317113
송파구 송파동 163-14,현대,1997,60,2층 초과,2023-07-01,아파트,96000.0,96.951,37500.0,84.183,112514.50992527221,송파구,송파동 163-14,43000.0,38.2172930660756
강서구 방화동 793-0,현대,1993,60,2층 초과,2023-07-01,아파트,60000.0,90.277,29500.0,81.465,56535.9973195971,강서구,방화동 793-0,29555.55496104786,52.2774097252955
구로구 개봉동 481-0,현대,2001,85,2층 초과,2023-07-01,아파트,76166.66666666667,92.83,45000.0,84.451,85608.21662257437,구로구,개봉동 481-0,60000.0,70.08673041809209
송파구 송파동 163-14,현대,1997,85,2층 초과,2023-07-01,아파트,125000.0,96.951,66000.0,84.183,130057.67617296451,송파구,송파동 163-14,65261.45714083095,50.1788583812918
동대문구 휘경동 363-0,현대,1992,85,2층 초과,2023-07-01,아파트,66000.0,89.772,25000.000000000004,86.164,70040.03895709955,동대문구,휘경동 363-0,23100.0,32.98113528199072
동작구 신대방동 707-0,현대,1996,85,2층 초과,2023-07-01,아파트,89400.0,96.056,44116.66666666666,83.141,102195.68896402628,동작구,신대방동 707-0,42000.0,41.09762400523993
