,주소,건물명,건축년도,면적,계약월,건물용도,구,CPI,전년도동월 대비 CPI 등락률,전세수급-서울-6개월 전,매매수급-서울-6개월 전,주택담보대출 (연리%)-6개월 전,전세자금대출 (연리%)-6개월 전,미래 전세가 예측값,미래 매매가 예측값,월별평균 전세가,월별평균 매매가
1436,강남구 개포동 1194-1,런던빌개포,2021.0,31,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,38804.688,49782.395,39792.0,50741.0
3704,강남구 개포동 13-3,대청타워,1997.0,41,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,25359.955,31098.73,26580.0,32326.0
5967,강남구 개포동 186-13,메트하임,2018.0,22,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,21621.482,26520.84,23000.0,30324.0
11345,강남구 논현동 118-8,더원센트럴,2018.0,27,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,31720.543,42911.332,34650.0,46729.0
11984,강남구 논현동 152-5,논현동대우아이빌 힐타운,2003.0,29,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,15842.811,21637.828,20000.0,21471.0
12397,강남구 논현동 152-5,논현동대우아이빌 힐타운,2003.0,45,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,23368.09,31482.023,27122.0,35063.0
14757,강남구 논현동 202-10,리체힐 신논현 오피스텔A동,2018.0,22,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,21892.969,25497.467,27377.0,30209.0
14938,강남구 논현동 205-8,운현오피스텔,2003.0,30,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,16910.512,22295.988,18217.0,20303.0
15029,강남구 논현동 209-0,삼환 아르누보 3,2005.0,22,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,16110.307,20475.088,21873.0,23525.0
15064,강남구 논현동 209-0,삼환 아르누보 3,2005.0,26,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,17895.184,22946.713,26399.0,34744.0
16852,강남구 논현동 225-6,논현아이파크,2020.0,28,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,35928.473,50732.59,39109.0,47297.0
23293,강남구 논현동 58-2,마일스디오빌,2004.0,36,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,27391.912,38873.168,33000.0,39011.0
23384,강남구 논현동 6-21,세양 APEX-TOWER,2003.0,27,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,16220.558,21367.482,21000.0,21500.0
23475,강남구 논현동 6-21,세양 APEX-TOWER,2003.0,34,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,19056.729,26016.494,19392.0,28384.0
23566,강남구 논현동 6-21,세양 APEX-TOWER,2003.0,41,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,22901.041,30806.477,26009.0,27088.0
25474,강남구 대치동 1009-4,상지리츠빌카일룸(1009-4),2011.0,178,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,301955.06,377254.47,361574.0,432499.0
30881,강남구 대치동 889-53,선릉역 롯데골드로즈오피스텔,2003.0,32,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,18153.58,24606.973,21052.0,20100.0
31147,강남구 대치동 889-56,더 나인 오피스텔,2004.0,33,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,20358.346,26119.457,21000.0,23956.0
31238,강남구 대치동 889-74,아름빌(889-74),2003.0,30,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,21378.064,30252.838,21718.0,27587.0
32479,강남구 대치동 890-59,선릉역 롯데골드로즈2,2004.0,34,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,21304.299,28304.182,21681.0,30324.0
32570,강남구 대치동 890-59,선릉역 롯데골드로즈2,2004.0,39,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,24800.203,32039.51,26399.0,29818.0
